Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,15:00 (10:00),Matchweek 1,Sat,Home,W,1,0,Wolves,0.8,1.1,57,31983,Kasper Schmeichel,4-2-3-1,Craig Pawson,Match Report,
2021-08-23,20:00 (15:00),Matchweek 2,Mon,Away,L,1,4,West Ham,0.8,2.5,47,59901,Kasper Schmeichel,4-2-3-1,Michael Oliver,Match Report,
2021-08-28,15:00 (10:00),Matchweek 3,Sat,Away,W,2,1,Norwich City,1.3,1.6,55,26765,Kasper Schmeichel,4-4-2,Robert Jones,Match Report,
2021-09-11,15:00 (10:00),Matchweek 4,Sat,Home,L,0,1,Manchester City,0.8,2.9,39,32087,Kasper Schmeichel,4-2-3-1,Paul Tierney,Match Report,
2021-09-19,14:00 (09:00),Matchweek 5,Sun,Away,L,1,2,Brighton,1.7,1.4,63,31078,Kasper Schmeichel,4-3-3,Stuart Attwell,Match Report,
2021-09-25,15:00 (10:00),Matchweek 6,Sat,Home,D,2,2,Burnley,2.6,0.7,66,31650,Kasper Schmeichel,4-3-3,Chris Kavanagh,Match Report,
2021-10-03,14:00 (09:00),Matchweek 7,Sun,Away,D,2,2,Crystal Palace,1.7,1.3,40,25000,Kasper Schmeichel,4-4-2,Anthony Taylor,Match Report,
2021-10-16,15:00 (10:00),Matchweek 8,Sat,Home,W,4,2,Manchester Utd,3.1,1.4,49,32219,Kasper Schmeichel,3-4-1-2,Craig Pawson,Match Report,
2021-10-24,14:00 (09:00),Matchweek 9,Sun,Away,W,2,1,Brentford,1.5,1.2,45,16814,Kasper Schmeichel,3-4-1-2,Simon Hooper,Match Report,
2021-10-30,12:30 (07:30),Matchweek 10,Sat,Home,L,0,2,Arsenal,1.2,0.9,64,32209,Kasper Schmeichel,3-4-1-2,Michael Oliver,Match Report,
2021-11-07,14:00 (09:00),Matchweek 11,Sun,Away,D,1,1,Leeds United,1.1,1.2,43,36478,Kasper Schmeichel,4-3-3,Darren England,Match Report,
2021-11-20,12:30 (07:30),Matchweek 12,Sat,Home,L,0,3,Chelsea,0.4,2.4,39,35497,Kasper Schmeichel,3-4-3,Paul Tierney,Match Report,
2021-11-28,14:00 (09:00),Matchweek 13,Sun,Home,W,4,2,Watford,2.2,2.7,56,32020,Kasper Schmeichel,4-2-3-1,Andy Madley,Match Report,
2021-12-01,19:30 (14:30),Matchweek 14,Wed,Away,D,2,2,Southampton,1.5,1.5,56,26951,Kasper Schmeichel,4-2-3-1,Robert Jones,Match Report,
2021-12-05,16:30 (11:30),Matchweek 15,Sun,Away,L,1,2,Aston Villa,1.4,2.0,59,41572,Kasper Schmeichel,4-2-3-1,Michael Oliver,Match Report,
2021-12-12,14:00 (09:00),Matchweek 16,Sun,Home,W,4,0,Newcastle Utd,2.5,0.7,49,31959,Kasper Schmeichel,4-2-3-1,Peter Bankes,Match Report,
2021-12-26,15:00 (10:00),Matchweek 19,Sun,Away,L,3,6,Manchester City,2.4,3.4,28,53226,Kasper Schmeichel,4-4-1-1,Chris Kavanagh,Match Report,
2021-12-28,20:00 (15:00),Matchweek 20,Tue,Home,W,1,0,Liverpool,0.6,2.5,38,32230,Kasper Schmeichel,4-4-2◆,Michael Oliver,Match Report,
2022-01-19,19:30 (14:30),Matchweek 17,Wed,Home,L,2,3,Tottenham,1.5,3.7,48,31986,Kasper Schmeichel,3-5-2,Jonathan Moss,Match Report,
2022-01-23,14:00 (09:00),Matchweek 23,Sun,Home,D,1,1,Brighton,2.2,1.0,43,31231,Kasper Schmeichel,4-2-3-1,Martin Atkinson,Match Report,
2022-02-10,19:45 (14:45),Matchweek 24,Thu,Away,L,0,2,Liverpool,0.3,2.6,37,53050,Kasper Schmeichel,4-2-3-1,Chris Kavanagh,Match Report,
2022-02-13,16:30 (11:30),Matchweek 25,Sun,Home,D,2,2,West Ham,1.3,0.6,56,32061,Kasper Schmeichel,4-3-3,Michael Oliver,Match Report,
2022-02-20,16:30 (11:30),Matchweek 26,Sun,Away,L,1,2,Wolves,1.6,0.6,65,31587,Kasper Schmeichel,4-3-3,Craig Pawson,Match Report,
2022-03-01,19:45 (14:45),Matchweek 22,Tue,Away,W,2,0,Burnley,1.5,1.0,55,17825,Kasper Schmeichel,4-3-3,Chris Kavanagh,Match Report,
2022-03-05,12:30 (07:30),Matchweek 28,Sat,Home,W,1,0,Leeds United,0.5,1.9,50,32236,Kasper Schmeichel,4-3-3,David Coote,Match Report,
2022-03-13,16:30 (12:30),Matchweek 29,Sun,Away,L,0,2,Arsenal,0.3,2.3,54,60111,Kasper Schmeichel,4-2-3-1,Anthony Taylor,Match Report,
2022-03-20,14:00 (10:00),Matchweek 30,Sun,Home,W,2,1,Brentford,1.3,1.4,53,31830,Kasper Schmeichel,4-2-3-1,Darren England,Match Report,
2022-04-02,17:30 (12:30),Matchweek 31,Sat,Away,D,1,1,Manchester Utd,0.8,1.3,46,73444,Kasper Schmeichel,4-2-3-1,Andre Marriner,Match Report,
2022-04-10,14:00 (09:00),Matchweek 32,Sun,Home,W,2,1,Crystal Palace,1.0,1.3,50,31896,Kasper Schmeichel,4-2-3-1,Robert Jones,Match Report,
2022-04-17,14:15 (09:15),Matchweek 33,Sun,Away,L,1,2,Newcastle Utd,0.6,1.4,67,52104,Kasper Schmeichel,4-1-4-1,Jarred Gillett,Match Report,
2022-04-20,19:45 (14:45),Matchweek 18,Wed,Away,D,1,1,Everton,1.0,1.5,63,39153,Kasper Schmeichel,4-2-3-1,David Coote,Match Report,
2022-04-23,15:00 (10:00),Matchweek 34,Sat,Home,D,0,0,Aston Villa,0.4,0.6,63,32185,Kasper Schmeichel,4-1-4-1,Andy Madley,Match Report,
2022-05-01,14:00 (09:00),Matchweek 35,Sun,Away,L,1,3,Tottenham,0.4,1.5,60,59482,Kasper Schmeichel,3-5-2,Jonathan Moss,Match Report,
2022-05-08,14:00 (09:00),Matchweek 36,Sun,Home,L,1,2,Everton,1.8,1.5,66,32001,Kasper Schmeichel,3-5-2,Craig Pawson,Match Report,
2022-05-11,19:45 (14:45),Matchweek 21,Wed,Home,W,3,0,Norwich City,2.5,1.2,64,38092,Kasper Schmeichel,4-2-3-1,Simon Hooper,Match Report,
2022-05-15,14:00 (09:00),Matchweek 37,Sun,Away,W,5,1,Watford,2.3,1.4,60,20257,Jonny Evans,4-1-4-1,Jarred Gillett,Match Report,
2022-05-19,20:00 (15:00),Matchweek 27,Thu,Away,D,1,1,Chelsea,0.1,1.7,32,31478,Kasper Schmeichel,3-5-2,Stuart Attwell,Match Report,
2022-05-22,16:00 (11:00),Matchweek 38,Sun,Home,W,4,1,Southampton,2.3,1.2,50,32003,Kasper Schmeichel,4-3-3,Jonathan Moss,Match Report,
