Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,17:30 (12:30),Matchweek 1,Sat,Away,W,3,0,Norwich City,2.0,1.4,51,27023,James Milner,4-3-3,Andre Marriner,Match Report,
2021-08-21,12:30 (07:30),Matchweek 2,Sat,Home,W,2,0,Burnley,2.9,0.7,63,52591,Jordan Henderson,4-3-3,Mike Dean,Match Report,
2021-08-28,17:30 (12:30),Matchweek 3,Sat,Home,D,1,1,Chelsea,2.6,0.8,65,54000,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
2021-09-12,16:30 (11:30),Matchweek 4,Sun,Away,W,3,0,Leeds United,4.0,1.2,57,36507,Virgil van Dijk,4-3-3,Craig Pawson,Match Report,
2021-09-18,15:00 (10:00),Matchweek 5,Sat,Home,W,3,0,Crystal Palace,2.7,0.8,59,52000,Jordan Henderson,4-3-3,Andy Madley,Match Report,
2021-09-25,17:30 (12:30),Matchweek 6,Sat,Away,D,3,3,Brentford,2.5,1.9,66,16876,Jordan Henderson,4-3-3,Stuart Attwell,Match Report,
2021-10-03,16:30 (11:30),Matchweek 7,Sun,Home,D,2,2,Manchester City,1.0,1.2,49,53102,Jordan Henderson,4-3-3,Paul Tierney,Match Report,
2021-10-16,12:30 (07:30),Matchweek 8,Sat,Away,W,5,0,Watford,3.6,0.5,76,21085,Jordan Henderson,4-3-3,Jonathan Moss,Match Report,
2021-10-24,16:30 (11:30),Matchweek 9,Sun,Away,W,5,0,Manchester Utd,3.8,1.5,63,73088,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
2021-10-30,15:00 (10:00),Matchweek 10,Sat,Home,D,2,2,Brighton,1.1,1.1,57,52598,Jordan Henderson,4-3-3,Mike Dean,Match Report,
2021-11-07,16:30 (11:30),Matchweek 11,Sun,Away,L,2,3,West Ham,1.4,1.0,68,59909,Jordan Henderson,4-3-3,Craig Pawson,Match Report,
2021-11-20,17:30 (12:30),Matchweek 12,Sat,Home,W,4,0,Arsenal,4.3,0.4,63,53092,Virgil van Dijk,4-3-3,Michael Oliver,Match Report,
2021-11-27,15:00 (10:00),Matchweek 13,Sat,Home,W,4,0,Southampton,2.5,1.0,65,53040,Jordan Henderson,4-3-3,Andre Marriner,Match Report,
2021-12-01,20:15 (15:15),Matchweek 14,Wed,Away,W,4,1,Everton,2.1,0.6,68,39641,Jordan Henderson,4-3-3,Paul Tierney,Match Report,
2021-12-04,15:00 (10:00),Matchweek 15,Sat,Away,W,1,0,Wolves,2.5,0.2,65,30729,Jordan Henderson,4-3-3,Chris Kavanagh,Match Report,
2021-12-11,15:00 (10:00),Matchweek 16,Sat,Home,W,1,0,Aston Villa,2.5,0.4,63,53093,Jordan Henderson,4-3-3,Stuart Attwell,Match Report,
2021-12-16,20:00 (15:00),Matchweek 17,Thu,Home,W,3,1,Newcastle Utd,2.4,0.3,74,52951,Jordan Henderson,4-3-3,Mike Dean,Match Report,
2021-12-19,16:30 (11:30),Matchweek 18,Sun,Away,D,2,2,Tottenham,1.5,3.4,57,45421,James Milner,4-3-3,Paul Tierney,Match Report,
2021-12-28,20:00 (15:00),Matchweek 20,Tue,Away,L,0,1,Leicester City,2.5,0.6,62,32230,Jordan Henderson,4-3-3,Michael Oliver,Match Report,
2022-01-02,16:30 (11:30),Matchweek 21,Sun,Away,D,2,2,Chelsea,1.4,1.3,45,40072,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
2022-01-16,14:00 (09:00),Matchweek 22,Sun,Home,W,3,0,Brentford,3.1,0.5,69,52824,Jordan Henderson,4-3-3,Jonathan Moss,Match Report,
2022-01-23,14:00 (09:00),Matchweek 23,Sun,Away,W,3,1,Crystal Palace,1.7,2.2,57,25002,Jordan Henderson,4-3-3,Kevin Friend,Match Report,
2022-02-10,19:45 (14:45),Matchweek 24,Thu,Home,W,2,0,Leicester City,2.6,0.3,63,53050,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,
2022-02-13,14:00 (09:00),Matchweek 25,Sun,Away,W,1,0,Burnley,1.6,0.8,67,19563,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,
2022-02-19,15:00 (10:00),Matchweek 26,Sat,Home,W,3,1,Norwich City,3.0,0.6,69,53135,Jordan Henderson,4-3-3,Mike Dean,Match Report,
2022-02-23,19:45 (14:45),Matchweek 19,Wed,Home,W,6,0,Leeds United,5.0,0.2,65,53018,Virgil van Dijk,4-3-3,Michael Oliver,Match Report,
2022-03-05,17:30 (12:30),Matchweek 28,Sat,Home,W,1,0,West Ham,2.6,1.5,69,59925,Jordan Henderson,4-3-3,Jonathan Moss,Match Report,
2022-03-12,12:30 (07:30),Matchweek 29,Sat,Away,W,2,0,Brighton,2.3,0.8,48,31474,Jordan Henderson,4-3-3,Mike Dean,Match Report,
2022-03-16,20:15 (16:15),Matchweek 27,Wed,Away,W,2,0,Arsenal,0.8,0.5,50,59968,Jordan Henderson,4-3-3,Andre Marriner,Match Report,
2022-04-02,12:30 (07:30),Matchweek 31,Sat,Home,W,2,0,Watford,2.1,0.6,73,53104,Jordan Henderson,4-3-3,Stuart Attwell,Match Report,
2022-04-10,16:30 (11:30),Matchweek 32,Sun,Away,D,2,2,Manchester City,1.0,2.0,45,53197,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
2022-04-19,20:00 (15:00),Matchweek 30,Tue,Home,W,4,0,Manchester Utd,2.3,0.1,72,52686,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,
2022-04-24,16:30 (11:30),Matchweek 34,Sun,Home,W,2,0,Everton,1.6,0.4,81,53213,Virgil van Dijk,4-3-3,Stuart Attwell,Match Report,
2022-04-30,12:30 (07:30),Matchweek 35,Sat,Away,W,1,0,Newcastle Utd,2.3,0.2,64,52281,Jordan Henderson,4-3-3,Andre Marriner,Match Report,
2022-05-07,19:45 (14:45),Matchweek 36,Sat,Home,D,1,1,Tottenham,1.2,1.1,64,53177,Jordan Henderson,4-3-3,Michael Oliver,Match Report,
2022-05-10,20:00 (15:00),Matchweek 33,Tue,Away,W,2,1,Aston Villa,1.9,1.1,60,41919,Virgil van Dijk,4-3-3,Jonathan Moss,Match Report,
2022-05-17,19:45 (14:45),Matchweek 37,Tue,Away,W,2,1,Southampton,1.5,0.1,71,31588,James Milner,4-3-3,Martin Atkinson,Match Report,
2022-05-22,16:00 (11:00),Matchweek 38,Sun,Home,W,3,1,Wolves,3.2,1.1,63,53097,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
