Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-15,16:30 (11:30),Matchweek 1,Sun,Away,L,0,1,Tottenham,1.9,1.3,64,58262,Fernandinho,4-3-3,Anthony Taylor,Match Report,
2021-08-21,15:00 (10:00),Matchweek 2,Sat,Home,W,5,0,Norwich City,2.7,0.1,67,51437,İlkay Gündoğan,4-3-3,Graham Scott,Match Report,
2021-08-28,12:30 (07:30),Matchweek 3,Sat,Home,W,5,0,Arsenal,3.8,0.1,80,52276,İlkay Gündoğan,4-3-3,Martin Atkinson,Match Report,
2021-09-11,15:00 (10:00),Matchweek 4,Sat,Away,W,1,0,Leicester City,2.9,0.8,61,32087,İlkay Gündoğan,4-3-3,Paul Tierney,Match Report,
2021-09-18,15:00 (10:00),Matchweek 5,Sat,Home,D,0,0,Southampton,1.1,0.4,63,52698,Fernandinho,4-3-3,Jonathan Moss,Match Report,
2021-09-25,12:30 (07:30),Matchweek 6,Sat,Away,W,1,0,Chelsea,1.7,0.3,60,40036,Rúben Dias,4-3-3,Michael Oliver,Match Report,
2021-10-03,16:30 (11:30),Matchweek 7,Sun,Away,D,2,2,Liverpool,1.2,1.0,51,53102,Rúben Dias,4-3-3,Paul Tierney,Match Report,
2021-10-16,15:00 (10:00),Matchweek 8,Sat,Home,W,2,0,Burnley,1.9,1.0,69,52711,Kevin De Bruyne,4-3-3,Martin Atkinson,Match Report,
2021-10-23,17:30 (12:30),Matchweek 9,Sat,Away,W,4,1,Brighton,3.9,1.3,52,31215,İlkay Gündoğan,4-3-3,Kevin Friend,Match Report,
2021-10-30,15:00 (10:00),Matchweek 10,Sat,Home,L,0,2,Crystal Palace,1.1,1.1,68,53014,Rúben Dias,4-3-3,Andre Marriner,Match Report,
2021-11-06,12:30 (08:30),Matchweek 11,Sat,Away,W,2,0,Manchester Utd,2.0,0.6,67,73086,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2021-11-21,14:00 (09:00),Matchweek 12,Sun,Home,W,3,0,Everton,2.3,0.3,76,52571,İlkay Gündoğan,4-3-3,Stuart Attwell,Match Report,
2021-11-28,14:00 (09:00),Matchweek 13,Sun,Home,W,2,1,West Ham,2.1,0.2,67,53245,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2021-12-01,20:15 (15:15),Matchweek 14,Wed,Away,W,2,1,Aston Villa,0.9,0.9,64,41400,Fernandinho,4-2-3-1,Mike Dean,Match Report,
2021-12-04,17:30 (12:30),Matchweek 15,Sat,Away,W,3,1,Watford,3.6,0.7,76,20673,İlkay Gündoğan,4-3-3,Simon Hooper,Match Report,
2021-12-11,12:30 (07:30),Matchweek 16,Sat,Home,W,1,0,Wolves,3.5,0.2,71,52613,İlkay Gündoğan,4-3-3,Jonathan Moss,Match Report,
2021-12-14,20:00 (15:00),Matchweek 17,Tue,Home,W,7,0,Leeds United,3.6,0.2,64,52401,Rúben Dias,4-3-3,Paul Tierney,Match Report,
2021-12-19,14:15 (09:15),Matchweek 18,Sun,Away,W,4,0,Newcastle Utd,3.1,0.4,71,52127,Rúben Dias,4-3-3,Martin Atkinson,Match Report,
2021-12-26,15:00 (10:00),Matchweek 19,Sun,Home,W,6,3,Leicester City,3.4,2.4,72,53226,Fernandinho,4-3-3,Chris Kavanagh,Match Report,
2021-12-29,20:15 (15:15),Matchweek 20,Wed,Away,W,1,0,Brentford,0.8,0.3,76,17009,Fernandinho,4-3-3,David Coote,Match Report,
2022-01-01,12:30 (07:30),Matchweek 21,Sat,Away,W,2,1,Arsenal,1.8,1.0,70,59757,Rúben Dias,4-3-3,Stuart Attwell,Match Report,
