Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,12:30 (07:30),Matchweek 1,Sat,Home,W,5,1,Leeds United,1.5,0.6,49,72732,Harry Maguire,4-2-3-1,Paul Tierney,Match Report,
2021-08-22,14:00 (09:00),Matchweek 2,Sun,Away,D,1,1,Southampton,1.4,0.8,62,32000,Harry Maguire,4-2-3-1,Craig Pawson,Match Report,
2021-08-29,16:30 (11:30),Matchweek 3,Sun,Away,W,1,0,Wolves,0.6,1.8,56,30621,Harry Maguire,4-2-3-1,Mike Dean,Match Report,
2021-09-11,15:00 (10:00),Matchweek 4,Sat,Home,W,4,1,Newcastle Utd,2.1,0.7,64,72732,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
2021-09-19,14:00 (09:00),Matchweek 5,Sun,Away,W,2,1,West Ham,1.8,1.6,61,60000,Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,
2021-09-25,12:30 (07:30),Matchweek 6,Sat,Home,L,0,1,Aston Villa,2.3,1.2,58,72922,Harry Maguire,4-2-3-1,Mike Dean,Match Report,
2021-10-02,12:30 (07:30),Matchweek 7,Sat,Home,D,1,1,Everton,0.9,1.1,72,73128,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,
2021-10-16,15:00 (10:00),Matchweek 8,Sat,Away,L,2,4,Leicester City,1.4,3.1,51,32219,Harry Maguire,4-2-3-1,Craig Pawson,Match Report,
2021-10-24,16:30 (11:30),Matchweek 9,Sun,Home,L,0,5,Liverpool,1.5,3.8,37,73088,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
2021-10-30,17:30 (12:30),Matchweek 10,Sat,Away,W,3,0,Tottenham,1.2,0.7,42,60356,Harry Maguire,3-4-1-2,Stuart Attwell,Match Report,
