Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-15,16:30 (11:30),Matchweek 1,Sun,Home,W,1,0,Manchester City,1.3,1.9,36,58262,Hugo Lloris,4-3-3,Anthony Taylor,Match Report,
2021-08-22,14:00 (09:00),Matchweek 2,Sun,Away,W,1,0,Wolves,1.5,1.4,43,30368,Hugo Lloris,4-3-3,Stuart Attwell,Match Report,
2021-08-29,14:00 (09:00),Matchweek 3,Sun,Home,W,1,0,Watford,0.9,0.6,56,57672,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,
2021-09-11,12:30 (07:30),Matchweek 4,Sat,Away,L,0,3,Crystal Palace,0.1,2.4,38,26000,Hugo Lloris,4-4-2◆,Jonathan Moss,Match Report,
2021-09-19,16:30 (11:30),Matchweek 5,Sun,Home,L,0,3,Chelsea,0.7,1.9,47,60059,Hugo Lloris,4-3-2-1,Paul Tierney,Match Report,
2021-09-26,16:30 (11:30),Matchweek 6,Sun,Away,L,1,3,Arsenal,1.0,0.8,54,59919,Hugo Lloris,4-3-3,Craig Pawson,Match Report,
2021-10-03,14:00 (09:00),Matchweek 7,Sun,Home,W,2,1,Aston Villa,1.7,1.1,58,53076,Hugo Lloris,4-2-3-1,Chris Kavanagh,Match Report,
2021-10-17,16:30 (11:30),Matchweek 8,Sun,Away,W,3,2,Newcastle Utd,1.6,0.5,63,52214,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,
2021-10-24,14:00 (09:00),Matchweek 9,Sun,Away,L,0,1,West Ham,0.7,1.2,61,59924,Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,
2021-10-30,17:30 (12:30),Matchweek 10,Sat,Home,L,0,3,Manchester Utd,0.7,1.2,58,60356,Hugo Lloris,4-2-3-1,Stuart Attwell,Match Report,
2021-11-07,14:00 (09:00),Matchweek 11,Sun,Away,D,0,0,Everton,0.8,0.5,56,39059,Hugo Lloris,3-4-3,Chris Kavanagh,Match Report,
2021-11-21,16:30 (11:30),Matchweek 12,Sun,Home,W,2,1,Leeds United,2.0,1.1,43,58989,Hugo Lloris,3-4-3,Andre Marriner,Match Report,
2021-12-02,19:30 (14:30),Matchweek 14,Thu,Home,W,2,0,Brentford,2.4,0.3,47,54202,Hugo Lloris,3-4-3,Jonathan Moss,Match Report,
2021-12-05,14:00 (09:00),Matchweek 15,Sun,Home,W,3,0,Norwich City,1.7,1.6,41,57088,Hugo Lloris,3-4-3,Jarred Gillett,Match Report,
2021-12-19,16:30 (11:30),Matchweek 18,Sun,Home,D,2,2,Liverpool,3.4,1.5,43,45421,Hugo Lloris,3-5-2,Paul Tierney,Match Report,
2021-12-26,15:00 (10:00),Matchweek 19,Sun,Home,W,3,0,Crystal Palace,2.5,0.2,60,40539,Hugo Lloris,3-4-3,Jonathan Moss,Match Report,
2021-12-28,15:00 (10:00),Matchweek 20,Tue,Away,D,1,1,Southampton,2.4,0.4,64,31304,Hugo Lloris,3-4-3,Anthony Taylor,Match Report,
2022-01-01,15:00 (10:00),Matchweek 21,Sat,Away,W,1,0,Watford,1.9,0.3,74,20391,Hugo Lloris,3-4-3,Robert Jones,Match Report,
2022-01-19,19:30 (14:30),Matchweek 17,Wed,Away,W,3,2,Leicester City,3.7,1.5,52,31986,Hugo Lloris,3-5-2,Jonathan Moss,Match Report,
2022-01-23,16:30 (11:30),Matchweek 23,Sun,Away,L,0,2,Chelsea,0.4,0.9,35,40020,Hugo Lloris,4-4-2,Paul Tierney,Match Report,
2022-02-09,19:45 (14:45),Matchweek 24,Wed,Home,L,2,3,Southampton,1.5,2.7,48,54012,Hugo Lloris,3-4-3,David Coote,Match Report,
2022-02-13,14:00 (09:00),Matchweek 25,Sun,Home,L,0,2,Wolves,1.4,1.3,59,56452,Hugo Lloris,3-4-3,Kevin Friend,Match Report,
2022-02-19,17:30 (12:30),Matchweek 26,Sat,Away,W,3,2,Manchester City,1.8,2.1,29,53201,Hugo Lloris,3-4-3,Anthony Taylor,Match Report,
2022-02-23,19:30 (14:30),Matchweek 13,Wed,Away,L,0,1,Burnley,0.9,1.1,64,19488,Hugo Lloris,3-4-3,Graham Scott,Match Report,
2022-02-26,12:30 (07:30),Matchweek 27,Sat,Away,W,4,0,Leeds United,2.4,1.5,51,36599,Hugo Lloris,3-4-3,Craig Pawson,Match Report,
2022-03-07,20:00 (15:00),Matchweek 28,Mon,Home,W,5,0,Everton,2.9,0.2,55,59647,Hugo Lloris,3-4-3,Stuart Attwell,Match Report,
2022-03-12,17:30 (12:30),Matchweek 29,Sat,Away,L,2,3,Manchester Utd,1.3,1.1,57,73458,Hugo Lloris,3-4-3,Jonathan Moss,Match Report,
2022-03-16,19:30 (15:30),Matchweek 16,Wed,Away,W,2,0,Brighton,2.4,0.7,52,31144,Hugo Lloris,3-4-3,Robert Jones,Match Report,
2022-03-20,16:30 (12:30),Matchweek 30,Sun,Home,W,3,1,West Ham,2.5,0.6,53,58685,Hugo Lloris,3-4-3,Anthony Taylor,Match Report,
2022-04-03,16:30 (11:30),Matchweek 31,Sun,Home,W,5,1,Newcastle Utd,3.1,0.6,61,57553,Hugo Lloris,3-4-3,Martin Atkinson,Match Report,
2022-04-09,17:30 (12:30),Matchweek 32,Sat,Away,W,4,0,Aston Villa,1.0,1.6,49,41949,Hugo Lloris,3-4-3,Graham Scott,Match Report,
2022-04-16,12:30 (07:30),Matchweek 33,Sat,Home,L,0,1,Brighton,0.4,0.7,48,58685,Hugo Lloris,3-4-3,Craig Pawson,Match Report,
2022-04-23,17:30 (12:30),Matchweek 34,Sat,Away,D,0,0,Brentford,0.7,0.8,55,17072,Hugo Lloris,3-4-3,Martin Atkinson,Match Report,
