Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-15,14:00 (09:00),Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,2.3,1.5,53,50673,Declan Rice,4-2-3-1,Martin Atkinson,Match Report,
2021-08-23,20:00 (15:00),Matchweek 2,Mon,Home,W,4,1,Leicester City,2.5,0.8,53,59901,Declan Rice,4-2-3-1,Michael Oliver,Match Report,
2021-08-28,15:00 (10:00),Matchweek 3,Sat,Home,D,2,2,Crystal Palace,1.2,0.7,46,59751,Declan Rice,4-2-3-1,Stuart Attwell,Match Report,
2021-09-11,15:00 (10:00),Matchweek 4,Sat,Away,D,0,0,Southampton,0.6,0.8,58,30000,Declan Rice,4-2-3-1,David Coote,Match Report,
2021-09-19,14:00 (09:00),Matchweek 5,Sun,Home,L,1,2,Manchester Utd,1.6,1.8,39,60000,Declan Rice,4-4-2,Martin Atkinson,Match Report,
2021-09-25,15:00 (10:00),Matchweek 6,Sat,Away,W,2,1,Leeds United,1.8,1.3,47,36417,Declan Rice,4-2-3-1,Kevin Friend,Match Report,
2021-10-03,14:00 (09:00),Matchweek 7,Sun,Home,L,1,2,Brentford,1.3,1.2,59,49940,Declan Rice,4-2-3-1,Peter Bankes,Match Report,
2021-10-17,14:00 (09:00),Matchweek 8,Sun,Away,W,1,0,Everton,1.5,0.8,61,39132,Declan Rice,4-2-3-1,Stuart Attwell,Match Report,
2021-10-24,14:00 (09:00),Matchweek 9,Sun,Home,W,1,0,Tottenham,1.2,0.7,39,59924,Declan Rice,4-2-3-1,Paul Tierney,Match Report,
2021-10-31,16:30 (12:30),Matchweek 10,Sun,Away,W,4,1,Aston Villa,2.3,0.7,58,41874,Declan Rice,4-2-3-1,Chris Kavanagh,Match Report,
2021-11-07,16:30 (11:30),Matchweek 11,Sun,Home,W,3,2,Liverpool,1.0,1.4,32,59909,Declan Rice,4-2-3-1,Craig Pawson,Match Report,
2021-11-20,15:00 (10:00),Matchweek 12,Sat,Away,L,0,1,Wolves,0.5,1.2,47,30667,Declan Rice,4-2-3-1,Mike Dean,Match Report,
2021-11-28,14:00 (09:00),Matchweek 13,Sun,Away,L,1,2,Manchester City,0.2,2.1,33,53245,Declan Rice,4-2-3-1,Michael Oliver,Match Report,
2021-12-01,19:30 (14:30),Matchweek 14,Wed,Home,D,1,1,Brighton,1.6,1.1,35,59626,Declan Rice,4-2-3-1,Chris Kavanagh,Match Report,
2021-12-04,12:30 (07:30),Matchweek 15,Sat,Home,W,3,2,Chelsea,1.8,1.2,37,59942,Declan Rice,3-4-3,Andre Marriner,Match Report,
2021-12-12,14:00 (09:00),Matchweek 16,Sun,Away,D,0,0,Burnley,0.6,0.6,60,18065,Declan Rice,4-2-3-1,Graham Scott,Match Report,
2021-12-15,20:00 (15:00),Matchweek 17,Wed,Away,L,0,2,Arsenal,0.3,2.7,45,59777,Declan Rice,4-2-3-1,Anthony Taylor,Match Report,
2021-12-26,15:00 (10:00),Matchweek 19,Sun,Home,L,2,3,Southampton,1.7,1.3,56,41027,Declan Rice,4-2-3-1,Kevin Friend,Match Report,
2021-12-28,15:00 (10:00),Matchweek 20,Tue,Away,W,4,1,Watford,2.9,1.1,57,20073,Mark Noble,4-2-3-1,Darren England,Match Report,
2022-01-01,17:30 (12:30),Matchweek 21,Sat,Away,W,3,2,Crystal Palace,2.0,2.2,38,24351,Declan Rice,4-2-3-1,Darren England,Match Report,
2022-01-12,19:45 (14:45),Matchweek 18,Wed,Home,W,2,0,Norwich City,2.1,0.3,61,59775,Declan Rice,4-2-3-1,Simon Hooper,Match Report,
2022-01-16,14:00 (09:00),Matchweek 22,Sun,Home,L,2,3,Leeds United,2.0,2.3,48,59951,Declan Rice,4-2-3-1,Mike Dean,Match Report,
2022-01-22,15:00 (10:00),Matchweek 23,Sat,Away,L,0,1,Manchester Utd,0.4,1.8,43,73130,Declan Rice,4-2-3-1,Jonathan Moss,Match Report,
2022-02-08,19:45 (14:45),Matchweek 24,Tue,Home,W,1,0,Watford,0.7,0.3,65,59581,Declan Rice,4-2-3-1,Martin Atkinson,Match Report,
2022-02-13,16:30 (11:30),Matchweek 25,Sun,Away,D,2,2,Leicester City,0.6,1.3,44,32061,Declan Rice,4-2-3-1,Michael Oliver,Match Report,
2022-02-19,12:30 (07:30),Matchweek 26,Sat,Home,D,1,1,Newcastle Utd,0.6,0.7,47,59949,Declan Rice,4-2-3-1,Chris Kavanagh,Match Report,
2022-02-27,14:00 (09:00),Matchweek 27,Sun,Home,W,1,0,Wolves,2.1,0.8,40,59946,Declan Rice,4-2-3-1,Anthony Taylor,Match Report,
2022-03-05,17:30 (12:30),Matchweek 28,Sat,Away,L,0,1,Liverpool,1.5,2.6,31,59925,Aaron Cresswell,4-4-2,Jonathan Moss,Match Report,
2022-03-13,14:00 (10:00),Matchweek 29,Sun,Home,W,2,1,Aston Villa,1.3,1.0,48,59957,Declan Rice,4-2-3-1,Jarred Gillett,Match Report,
2022-03-20,16:30 (12:30),Matchweek 30,Sun,Away,L,1,3,Tottenham,0.6,2.5,47,58685,Declan Rice,3-4-3,Anthony Taylor,Match Report,
2022-04-03,14:00 (09:00),Matchweek 31,Sun,Home,W,2,1,Everton,1.2,0.8,55,59953,Declan Rice,4-2-3-1,Michael Oliver,Match Report,
2022-04-10,14:00 (09:00),Matchweek 32,Sun,Away,L,0,2,Brentford,0.3,1.6,52,17032,Declan Rice,4-2-3-1,Martin Atkinson,Match Report,
2022-04-17,14:15 (09:15),Matchweek 33,Sun,Home,D,1,1,Burnley,2.0,1.6,61,59958,Declan Rice,4-2-3-1,Paul Tierney,Match Report,
2022-04-24,14:00 (09:00),Matchweek 34,Sun,Away,L,0,1,Chelsea,0.5,2.8,34,32231,Mark Noble,3-4-1-2,Michael Oliver,Match Report,
2022-05-01,16:30 (11:30),Matchweek 35,Sun,Home,L,1,2,Arsenal,0.4,0.8,56,59959,Mark Noble,4-2-3-1,Mike Dean,Match Report,
2022-05-08,14:00 (09:00),Matchweek 36,Sun,Away,W,4,0,Norwich City,3.1,0.7,63,26428,Declan Rice,4-2-3-1,Robert Jones,Match Report,
2022-05-15,14:00 (09:00),Matchweek 37,Sun,Home,D,2,2,Manchester City,1.3,2.5,22,59972,Declan Rice,4-2-3-1,Anthony Taylor,Match Report,
2022-05-22,16:00 (11:00),Matchweek 38,Sun,Away,L,1,3,Brighton,0.3,1.7,49,31604,Declan Rice,4-2-3-1,Kevin Friend,Match Report,
